Stoichiometroic Energy,Stoichiometroic Int,Off stoichiometroic Energy,Off stoichiometroic Int
8.43,4,8.43,0
8.44,3,8.44,0
8.45,0,8.45,2
8.46,1,8.46,1
8.47,1,8.47,1
8.48,0,8.48,1
8.49,2,8.49,2
8.5,1,8.5,2
8.51,1,8.51,1
8.52,0,8.52,1
8.53,4,8.53,2
8.54,1,8.54,1
8.55,2,8.55,1
8.56,0,8.56,0
8.57,2,8.57,1
8.58,1,8.58,0
8.59,1,8.59,1
8.6,1,8.6,1
8.61,0,8.61,2
8.62,4,8.62,0
8.63,1,8.63,1
8.64,0,8.64,2
8.65,0,8.65,3
8.66,0,8.66,0
8.67,4,8.67,0
8.68,1,8.68,1
8.69,2,8.69,1
8.7,2,8.7,3
8.71,0,8.71,3
8.72,2,8.72,2
8.73,0,8.73,2
8.74,2,8.74,1
8.75,0,8.75,3
8.76,2,8.76,3
8.77,1,8.77,0
8.78,3,8.78,1
8.79,0,8.79,0
8.8,0,8.8,0
8.81,3,8.81,2
8.82,1,8.82,2
8.83,1,8.83,3
8.84,2,8.84,2
8.85,3,8.85,1
8.86,3,8.86,0
8.87,2,8.87,2
8.88,1,8.88,0
8.89,2,8.89,1
8.9,0,8.9,0
8.91,0,8.91,2
8.92,0,8.92,1
8.93,1,8.93,2
8.94,4,8.94,0
8.95,1,8.95,2
8.96,1,8.96,1
8.97,1,8.97,0
8.98,2,8.98,1
8.99,2,8.99,0
9,3,9,1
9.01,1,9.01,1
9.02,1,9.02,1
9.03,0,9.03,3
9.04,1,9.04,1
9.05,2,9.05,0
9.06,2,9.06,1
9.07,1,9.07,0
9.08,2,9.08,2
9.09,2,9.09,0
9.1,5,9.1,1
9.11,0,9.11,0
9.12,2,9.12,1
9.13,0,9.13,2
9.14,1,9.14,1
9.15,2,9.15,0
9.16,4,9.16,2
9.17,2,9.17,2
9.18,3,9.18,3
9.19,7,9.19,1
9.2,3,9.2,5
9.21,3,9.21,3
9.22,2,9.22,2
9.23,6,9.23,2
9.24,1,9.24,1
9.25,0,9.25,3
9.26,3,9.26,3
9.27,5,9.27,2
9.28,0,9.28,1
9.29,1,9.29,1
9.3,1,9.3,0
9.31,3,9.31,4
9.32,3,9.32,0
9.33,0,9.33,2
9.34,1,9.34,1
9.35,3,9.35,0
9.36,2,9.36,0
9.37,4,9.37,0
9.38,1,9.38,1
9.39,1,9.39,1
9.4,2,9.4,2
9.41,1,9.41,0
9.42,1,9.42,2
9.43,1,9.43,1
9.44,0,9.44,1
9.45,3,9.45,1
9.46,1,9.46,0
9.47,1,9.47,1
9.48,0,9.48,2
9.49,2,9.49,0
9.5,0,9.5,2
9.51,0,9.51,0
9.52,2,9.52,0
9.53,3,9.53,0
9.54,0,9.54,3
9.55,2,9.55,1
9.56,1,9.56,0
9.57,0,9.57,0
9.58,4,9.58,1
9.59,1,9.59,0
9.6,1,9.6,1
9.61,2,9.61,2
9.62,1,9.62,0
9.63,2,9.63,2
9.64,0,9.64,3
9.65,1,9.65,0
9.66,3,9.66,3
9.67,0,9.67,0
9.68,1,9.68,0
9.69,0,9.69,1
9.7,2,9.7,0
9.71,2,9.71,4
9.72,1,9.72,0
9.73,0,9.73,2
9.74,3,9.74,1
9.75,1,9.75,0
9.76,5,9.76,1
9.77,0,9.77,2
9.78,2,9.78,1
9.79,2,9.79,0
9.8,1,9.8,2
9.81,2,9.81,0
9.82,1,9.82,1
9.83,2,9.83,0
9.84,3,9.84,0
